product,region,units
P-KESTREL,north,321
P-KESTREL,south,148
P-KESTREL,east,178
P-KESTREL,west,77
P-KESTREL,central,935
P-MERLIN,north,916
P-MERLIN,south,26
P-MERLIN,east,167
P-MERLIN,west,543
P-MERLIN,central,849
P-OSPREY,north,710
P-OSPREY,south,895
P-OSPREY,east,847
P-OSPREY,west,111
P-OSPREY,central,568
P-HARRIER,north,294
P-HARRIER,south,316
P-HARRIER,east,791
P-HARRIER,west,549
P-HARRIER,central,305
P-KITE,north,172
P-KITE,south,424
P-KITE,east,160
P-KITE,west,474
P-KITE,central,101
P-SHRIKE,north,606
P-SHRIKE,south,284
P-SHRIKE,east,564
P-SHRIKE,west,960
P-SHRIKE,central,785
